PolyOrigin-PolyAncestry,designinfo
population,A,B,C
1,2,0,0
2,1,1,0
3,1,0,1
4,0,1,1
PolyOrigin-PolyAncestry,parentinfo
individual,ploidy
A,4
B,4
C,4
PolyOrigin-PolyAncestry,offspringinfo
individual,population,ploidy,isoutlier
AxA0001,1,4,false
AxA0002,1,4,false
AxA0003,1,4,false
AxA0004,1,4,false
AxA0005,1,4,false
AxA0006,1,4,false
AxA0007,1,4,false
AxA0008,1,4,false
AxA0009,1,4,false
AxA0010,1,4,false
AxB0001,2,4,false
AxB0002,2,4,false
AxB0003,2,4,false
AxB0004,2,4,false
AxB0005,2,4,false
AxB0006,2,4,false
AxB0007,2,4,false
AxB0008,2,4,false
AxB0009,2,4,false
AxB0010,2,4,false
AxC0001,3,4,false
AxC0002,3,4,false
AxC0003,3,4,false
AxC0004,3,4,false
AxC0005,3,4,false
AxC0006,3,4,false
AxC0007,3,4,false
AxC0008,3,4,false
AxC0009,3,4,false
AxC0010,3,4,false
BxC0001,4,4,false
BxC0002,4,4,false
BxC0003,4,4,false
BxC0004,4,4,false
BxC0005,4,4,false
BxC0006,4,4,false
BxC0007,4,4,false
BxC0008,4,4,false
BxC0009,4,4,false
BxC0010,4,4,false
PolyOrigin-PolyAncestry,delmarker
marker,chromosome,position
PolyOrigin-PolyAncestry,correction
round,marker,chromosome,parent,old_genotype,new_genotype,old_nerr,new_nerr
1,A_0038,A,C,1|2|2|2,2|1|1|1,11,0
1,A_0046,A,C,1|1|1|1,2|2|2|2,19,0
1,A_0060,A,C,1|1|1|1,2|2|1|2,20,0
1,A_0080,A,C,1|1|1|1,2|2|2|2,18,0
PolyOrigin-PolyAncestry,valentlist
population,parentindex,parent,valentindex,valent
1,1,A,1|1,1:2-3:4|1:2-3:4
1,1,A,2|1,1:3-2:4|1:2-3:4
1,1,A,3|1,1:4-2:3|1:2-3:4
1,1,A,4|1,1:2:3:4-1:2:3:4|1:2-3:4
1,1,A,1|2,1:2-3:4|1:3-2:4
1,1,A,2|2,1:3-2:4|1:3-2:4
1,1,A,3|2,1:4-2:3|1:3-2:4
1,1,A,4|2,1:2:3:4-1:2:3:4|1:3-2:4
1,1,A,1|3,1:2-3:4|1:4-2:3
1,1,A,2|3,1:3-2:4|1:4-2:3
1,1,A,3|3,1:4-2:3|1:4-2:3
1,1,A,4|3,1:2:3:4-1:2:3:4|1:4-2:3
1,1,A,1|4,1:2-3:4|1:2:3:4-1:2:3:4
1,1,A,2|4,1:3-2:4|1:2:3:4-1:2:3:4
1,1,A,3|4,1:4-2:3|1:2:3:4-1:2:3:4
1,1,A,4|4,1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4
2,1|2,A|B,1|1,1:2-3:4|5:6-7:8
2,1|2,A|B,2|1,1:3-2:4|5:6-7:8
2,1|2,A|B,3|1,1:4-2:3|5:6-7:8
2,1|2,A|B,4|1,1:2:3:4-1:2:3:4|5:6-7:8
2,1|2,A|B,1|2,1:2-3:4|5:7-6:8
2,1|2,A|B,2|2,1:3-2:4|5:7-6:8
2,1|2,A|B,3|2,1:4-2:3|5:7-6:8
2,1|2,A|B,4|2,1:2:3:4-1:2:3:4|5:7-6:8
2,1|2,A|B,1|3,1:2-3:4|5:8-6:7
2,1|2,A|B,2|3,1:3-2:4|5:8-6:7
2,1|2,A|B,3|3,1:4-2:3|5:8-6:7
2,1|2,A|B,4|3,1:2:3:4-1:2:3:4|5:8-6:7
2,1|2,A|B,1|4,1:2-3:4|5:6:7:8-5:6:7:8
2,1|2,A|B,2|4,1:3-2:4|5:6:7:8-5:6:7:8
2,1|2,A|B,3|4,1:4-2:3|5:6:7:8-5:6:7:8
2,1|2,A|B,4|4,1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8
3,1|3,A|C,1|1,1:2-3:4|5:6-7:8
3,1|3,A|C,2|1,1:3-2:4|5:6-7:8
3,1|3,A|C,3|1,1:4-2:3|5:6-7:8
3,1|3,A|C,4|1,1:2:3:4-1:2:3:4|5:6-7:8
3,1|3,A|C,1|2,1:2-3:4|5:7-6:8
3,1|3,A|C,2|2,1:3-2:4|5:7-6:8
3,1|3,A|C,3|2,1:4-2:3|5:7-6:8
